,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
d0,0.07615698,0.019071251,-0.15008971,-0.20668334,0.38466048,0.10450429,0.08518259,-0.14709136,-0.08033722,0.44138175,-0.12108905,0.028111013,0.07646044,-0.16487448,0.07150737,-0.00976687,-0.418134,-0.20663461,-0.45038298,0.4608681,-0.38088068,-0.28574997,-0.00021527811,-0.3183504,0.35839957,0.15853158,0.274682,-0.02127381,-0.24619716,-0.17163894,0.036410235,-0.10598171,0.32806784,-0.092495166,-0.07993859,0.07113713,0.13072473,0.2550405,-0.26626566,0.3461893,0.10054463,0.070714936,-0.010692982,0.22804232,0.0059753684,-0.35913995,-0.07660332,0.02176302,0.076958396,-0.051661618,-0.16890176,0.20907487,-0.13622178,-0.08926709,-0.26939955,-0.13800511,-0.038892087,0.14169185,0.30711302,0.18746684,-0.2497669,0.031898525,0.0014547145,0.051905986,-0.009593027,-0.004866403,-0.3145357,0.0042940816,0.095482334,0.111656584,-0.051542882,-0.31783408,-0.22711055,-0.15935908,0.15951216,-0.23334043,0.08645874,-0.19567484,-0.21732257,-0.54237235,-0.046953417,0.12279956,-0.05451867,-0.054211944,-0.18680795,0.2584695,-0.19617578,-0.18401578,-0.06566041,-0.24198937,0.0063249604,0.14831696,0.08704056,0.09963589,0.011308827,0.11829438,0.021982204,0.18339436,0.15954195,0.13709635,-0.01944508,-0.0342155,0.26857108,-0.4617217,-0.3896992,0.026698872,0.15232055,-0.059455,0.056236573,0.18155023,-0.013168251,-0.4191806,-0.17672032,-0.26163244,0.35389805,0.12703538,0.270832,-0.046694312,0.04675541,0.010473039,0.005815382,-0.26485556,0.021099374,0.1512795,-0.23593487,0.22677921,-0.24907313,-0.08678522
d1,0.06490687,0.022925109,-0.13057092,-0.26038697,0.3096924,0.08251937,0.10691904,-0.18833847,-0.09600168,0.50128984,-0.11522466,-0.0008484769,0.089398056,-0.19087034,0.040205367,-0.029805422,-0.35905644,-0.12936513,-0.51416755,0.39014226,-0.29813632,-0.27564967,-0.028855706,-0.29133722,0.28770325,0.13367432,0.25021812,0.00871673,-0.26941147,-0.15224124,0.06110836,-0.13219768,0.3953733,-0.10617959,-0.1014485,0.12564903,0.12052236,0.26525167,-0.2386857,0.3331497,0.10321667,0.03239035,-0.0010828733,0.17902106,-0.0057603265,-0.33160123,-0.035976473,-0.024498101,0.052286115,-0.019666016,-0.16955517,0.19908267,-0.16197473,-0.060847465,-0.2396793,-0.17377546,-0.038633753,0.058172096,0.33113408,0.24915558,-0.2722657,-0.012170583,0.05842191,0.051911052,-0.015002459,0.04478213,-0.22974323,-0.02501982,0.05723123,0.12601769,-0.040151834,-0.2673771,-0.16408052,-0.0833849,0.15529808,-0.18248324,0.12084499,-0.19651699,-0.1683648,-0.51408625,-0.049761422,0.07471554,-0.048831668,-0.08984275,-0.14701246,0.23331238,-0.24096814,-0.16274756,-0.04322578,-0.23122194,-0.043128014,0.15413502,0.10390736,0.06466486,0.02119084,0.11123766,0.08384484,0.20772268,0.07561978,0.1100038,-0.02258828,-0.024707962,0.24570096,-0.44047657,-0.3598947,0.026203893,0.19013603,0.0030126558,0.048728283,0.2185815,0.009567061,-0.37042814,-0.19294752,-0.22906134,0.31888214,0.13460508,0.28768456,0.0035478699,0.033879053,0.024509922,0.0036756466,-0.17517519,0.00062365056,0.1366103,-0.18022951,0.21872617,-0.22773425,-0.047453534
d2,-0.0024446156,0.0014388543,-0.0021286374,-0.0020030402,0.0006321315,-0.0055978475,0.0068015307,0.0063079717,0.00024006795,0.0073329983,0.0031162435,-0.0019871797,0.006881763,-0.0015960699,0.0017656796,-0.001272928,0.0042405594,0.0067081517,0.00129293,0.0018165074,-0.0005917866,-0.0040140785,0.0076183416,0.0048455307,-0.00053750165,-0.00093606114,0.0069780797,0.0065954104,-0.0034204293,-0.003289326,0.0067352876,0.0061532,0.0061821667,0.0009520091,-0.006433254,-0.0056406055,-0.00046952907,0.005820403,-0.0040821685,-0.007406952,-0.00063915644,-0.0002886718,-0.007196313,0.0061281323,-0.005477052,-0.00047477055,-0.0056573804,-0.006759095,0.0036061918,-0.00021688174,0.00778721,0.0045131193,0.0024265526,-0.00078146905,0.0040393136,-0.0015780078,0.00195996,-0.006219412,-0.005854287,0.0010083811,-0.006435169,-0.0027738996,-0.0044356296,0.0065269647,0.002926237,0.0053811437,-0.006521116,0.0062534045,0.0071211895,-0.0027554007,0.0067812353,-0.002371979,-0.0028212322,-0.0011814777,0.004775294,0.0061866967,0.003097266,0.0025535552,0.0019586552,0.0026610894,0.0065931557,-0.00029995758,-0.00023755338,-0.0011671856,0.002713886,-0.0056604855,0.00037281588,0.0061269896,0.0023799883,0.004888973,-0.0056662196,-0.0032409206,0.0058295326,-0.0058631487,0.0052491752,0.00054762233,-0.003040691,-0.00055470504,0.002672459,0.007330644,-0.0022922745,-1.8290244e-05,-0.006932658,0.0065907557,0.0074567497,0.004782621,0.0056618974,0.0064517856,0.0014609313,0.0023156768,-0.006242047,-0.006831983,-0.00630344,-0.0062685274,-0.0056519816,-0.003032823,0.006645728,-0.004727671,-0.0034274925,-0.0023653088,0.0043441877,-0.0009219991,-0.005733299,0.0056860754,-0.0028157923,-0.007067535,0.005484786,-0.0016814992
d3,0.08184635,0.04388032,-0.13063006,-0.24386871,0.3813349,0.10167968,0.15042618,-0.13682131,-0.14489356,0.55267096,-0.18020004,0.001247048,0.048095208,-0.11757013,0.10450466,-0.009043255,-0.49972576,-0.22837687,-0.49374792,0.50002164,-0.4060989,-0.32033882,-0.014452559,-0.3594606,0.43258348,0.18806916,0.31221575,-0.010809811,-0.2854088,-0.18308108,0.044922635,-0.13948715,0.39863935,-0.062092535,-0.11746418,0.13139647,0.079806335,0.30360094,-0.3110851,0.3477181,0.07911744,0.062103204,-0.0076879123,0.23612715,-0.0023102239,-0.46073392,-0.11468072,0.055427488,0.1352,0.013934047,-0.21727432,0.29991415,-0.15750194,-0.1442041,-0.2671892,-0.14542536,-0.08254936,0.20260757,0.3513899,0.15495567,-0.2959131,0.070236005,0.049814142,0.033296123,0.043170244,-0.018697625,-0.354937,0.00712078,0.11651498,0.15204418,-0.003274797,-0.3607616,-0.2780408,-0.14461541,0.15181983,-0.23352107,0.099701285,-0.16595149,-0.25045046,-0.6010506,-0.08514874,0.14434516,-0.038680337,-0.054827474,-0.22621119,0.32103086,-0.21941778,-0.20776153,-0.094304025,-0.248312,0.056281287,0.15811695,0.08131341,0.0982552,-0.03291977,0.11806168,-0.008008037,0.2250449,0.1440421,0.1254634,-0.04250995,-0.04772653,0.32143837,-0.48973167,-0.4579997,0.07316153,0.15055455,-0.038517427,0.009331058,0.25709188,0.04738803,-0.41752705,-0.1880102,-0.29234105,0.34729263,0.10975906,0.33091503,-0.06330071,0.092289895,0.046135042,0.0059514586,-0.29074177,0.0766027,0.17610088,-0.3210266,0.33964428,-0.28441817,-0.057635587
d4,0.08686654,0.03621164,-0.15324396,-0.23412557,0.38111976,0.09942459,0.11431606,-0.16522889,-0.11010566,0.5151357,-0.14976358,0.031857565,0.062672235,-0.1291848,0.08884168,-0.03660481,-0.45667833,-0.22378792,-0.48611274,0.5144599,-0.42522284,-0.3169512,0.0017304845,-0.3354901,0.42743552,0.1736965,0.32343525,-0.047636513,-0.27951133,-0.17981306,0.045492273,-0.1355244,0.3902671,-0.09514622,-0.076145105,0.07585271,0.105945036,0.28653944,-0.31301343,0.36122748,0.0958648,0.054323472,-0.023520324,0.26432362,-0.0009393422,-0.425154,-0.08589911,0.044893395,0.11924387,-0.027509058,-0.21439348,0.25992647,-0.1602125,-0.13786538,-0.26357678,-0.14829941,-0.05763053,0.18044433,0.34879854,0.16645649,-0.27253556,0.06542225,0.032477688,0.053167492,-0.009386636,9.711075e-06,-0.34286705,-0.0017615345,0.12616178,0.13154994,-0.033562213,-0.3223808,-0.2580457,-0.15204196,0.140592,-0.23282535,0.10606753,-0.1806818,-0.23466696,-0.594179,-0.074236855,0.14605193,-0.03761605,-0.08227893,-0.23559582,0.2925529,-0.21814018,-0.19751938,-0.09389528,-0.25027102,0.03706627,0.15919335,0.06427526,0.10828068,-0.02384374,0.11644133,-0.003552063,0.21638015,0.15393592,0.13953032,0.006472827,-0.043794867,0.30942562,-0.5048625,-0.45481524,0.04624341,0.16823882,-0.058827944,0.017931104,0.23250227,-0.0022006813,-0.44693974,-0.19979374,-0.28742018,0.36844352,0.12569095,0.28543288,-0.093625635,0.06926679,0.01892229,0.0061637424,-0.28838754,0.050180826,0.1646373,-0.27666703,0.27904224,-0.28171402,-0.079440534
d5,0.0072812713,-0.048854616,-0.010898946,-0.0062496737,0.16545172,-0.036061667,0.07430986,-0.074916616,-0.023844734,0.25063407,0.036123697,-0.063099265,0.051890556,-0.13810219,0.062192574,0.09138797,-0.1372231,-0.012812732,-0.25075543,0.23709492,0.008606815,-0.07663864,-0.0972211,-0.22154213,-0.0078354925,0.09402741,0.010501464,0.06027487,-0.01451228,-0.066254444,-0.10380879,0.011008738,0.10719209,-0.0063601653,-0.025529657,0.116094,0.11132019,0.06572412,-0.017727561,0.131613,0.06192176,0.113727644,0.005889242,0.020993901,0.114632614,-0.13945404,-0.029518157,0.008503407,0.06824047,0.034636077,0.06624239,0.09228462,0.013765299,0.028275833,-0.14150876,-0.085838675,0.06828096,-0.065292746,0.027569572,0.10396424,-0.2244053,0.03276059,0.042573597,-0.026546996,0.13406503,-0.07543795,-0.008241707,0.0179604,0.018697675,-0.016124744,-0.023400016,-0.11671478,-0.20373592,-0.112509675,0.13936745,-0.083931096,0.0070131314,-0.112777315,-0.13354,-0.09227491,-0.08385487,0.012030472,0.11660667,0.12769718,0.028955877,0.19451925,0.047319364,-0.16922587,0.012444836,0.019845916,-0.035808127,-0.019943703,0.034796797,0.040127628,0.06734102,0.09246318,-0.066693574,-0.07702392,0.020647664,0.045364033,-0.12528759,0.05575924,0.077740565,-0.117751345,-0.022936935,0.045215227,-0.0023620313,0.060700823,0.11226953,0.034365818,0.002447842,-0.18107079,-0.05804311,0.005968727,0.060726427,0.05976724,0.1452209,0.022244446,0.0970196,0.03502368,-0.04811963,-0.14583483,-0.09879625,0.09572367,-0.1495813,0.05414216,-0.089628115,-0.0067064976
d6,0.025713183,-0.035967845,-0.023779565,-0.052455388,0.16892979,-0.008565583,0.062865876,-0.082682125,-0.0286796,0.25325078,-0.0097179925,-0.045224182,0.053107835,-0.11556213,0.062199503,0.05885178,-0.16162424,-0.042061545,-0.26549038,0.21903805,-0.06883802,-0.102421954,-0.07103504,-0.19887957,0.05214778,0.07611652,0.04874832,0.029092232,-0.06799763,-0.07336525,-0.04029125,-0.019671522,0.14774409,-0.014825791,-0.03380845,0.093001686,0.09869583,0.09661709,-0.04828813,0.1611097,0.069664106,0.078436375,0.0075285123,0.04190308,0.06644436,-0.15853433,-0.015052494,-0.016042182,0.037500948,0.009227248,0.007349456,0.09772187,-0.028317427,0.008941977,-0.12550183,-0.08314235,0.04145612,-0.033209257,0.08124568,0.121960364,-0.20389776,-0.001937109,0.043526594,-0.004921159,0.07160461,-0.027599962,-0.062870376,0.01912484,0.016461572,0.015885655,-0.016449356,-0.12943204,-0.15957868,-0.08605882,0.11100233,-0.0810936,0.025802651,-0.11183732,-0.12145922,-0.17272568,-0.056169957,0.023141826,0.060364943,0.05530189,-0.0071556177,0.16591856,-0.031521633,-0.12870425,0.010680643,-0.037201,-0.039081648,0.02547721,0.047889385,0.031653102,0.051657595,0.07997223,-0.01053529,0.011120362,0.03347454,0.059231866,-0.08359726,0.029966183,0.085289225,-0.16710207,-0.09104243,0.025687309,0.0436113,0.038873535,0.087738976,0.049438126,-0.0025701383,-0.19462381,-0.073169775,-0.044359233,0.10317259,0.063661575,0.16149414,0.023761414,0.058365647,0.028867453,-0.030526161,-0.12372253,-0.06517534,0.09478282,-0.12918426,0.08302956,-0.12355384,-0.020144703
d7,-0.0011309106,-0.069536015,-0.0014617132,0.013333256,0.19902341,-0.04698093,0.067894034,-0.07681705,-0.019237412,0.27741274,0.034702323,-0.08925554,0.050664548,-0.14185396,0.07252946,0.11936777,-0.15392353,-0.008787242,-0.2931691,0.2663796,0.0322868,-0.08599261,-0.12096352,-0.26052973,-0.028599044,0.101278506,-0.012610879,0.067376174,0.013366329,-0.06909039,-0.1215343,0.0077375085,0.113981076,0.016990757,-0.016588619,0.1411275,0.12281189,0.05044263,-0.015237054,0.15139517,0.08273958,0.12664127,0.010289241,0.0019866573,0.13515462,-0.14049259,-0.04373865,0.0008457142,0.07137073,0.031564992,0.08840444,0.1047976,0.02628165,0.017976224,-0.14568263,-0.08765533,0.083460025,-0.07560942,-0.0052845306,0.10138978,-0.26741982,0.03284456,0.03829898,-0.035307493,0.1701096,-0.09455213,-0.0025999828,0.020454817,0.016122475,-0.037260067,-0.032240883,-0.14212617,-0.23829773,-0.13374846,0.15618813,-0.0822322,-0.012782985,-0.12239875,-0.1577459,-0.100042194,-0.09260559,0.010694908,0.1353508,0.17423584,0.03456849,0.23994626,0.06695866,-0.19081059,0.024153342,0.049778715,-0.02755215,-0.04040573,0.05494023,0.033677287,0.08907058,0.10434442,-0.090227254,-0.10556739,0.022730872,0.049526267,-0.15437867,0.09519883,0.060211405,-0.1084977,-0.008531127,0.04044589,-0.00872755,0.06818652,0.1618625,0.021637784,-0.0067050275,-0.18838575,-0.051621243,0.023538342,0.053614084,0.065250255,0.16110055,0.04777698,0.116519734,0.029245215,-0.053545322,-0.18449609,-0.11202452,0.11682124,-0.18255775,0.053066194,-0.11380853,0.009018361
d8,0.040742178,0.004125707,-0.08216093,-0.1315563,0.22401567,0.038934227,0.08028257,-0.11373067,-0.057861805,0.31957015,-0.054413073,-0.016827717,0.05568996,-0.124866165,0.061337817,0.010767305,-0.25072193,-0.10202854,-0.32853237,0.29027483,-0.19618347,-0.17407201,-0.03534854,-0.2198828,0.17408144,0.10217779,0.14326587,0.0062385593,-0.14994717,-0.09805185,0.0015402678,-0.074044965,0.21634187,-0.05582868,-0.054959025,0.07903604,0.09566848,0.15065643,-0.1350063,0.20930925,0.07552846,0.05051629,0.002334828,0.10927336,0.029228486,-0.22888274,-0.0315023,0.006283296,0.04857812,-0.009321134,-0.08457622,0.14462988,-0.08999477,-0.04379327,-0.16684003,-0.10259855,-0.006907311,0.047645975,0.17875075,0.14166453,-0.19677107,0.0037929302,0.036305327,0.01178165,0.032402102,-0.006877901,-0.15782489,0.005187652,0.048981212,0.0671906,-0.022322148,-0.19448571,-0.15620337,-0.09256762,0.11023198,-0.13315262,0.051764905,-0.12585306,-0.13689531,-0.3165128,-0.043610275,0.05436372,0.0011307015,0.0005028746,-0.08413221,0.18363275,-0.114947736,-0.14442785,-0.023576729,-0.12519552,-0.023810934,0.06823175,0.06433798,0.047076534,0.025102928,0.07929318,0.01072928,0.09536431,0.07216008,0.068473816,-0.048021127,-0.0030536654,0.15519787,-0.26929387,-0.21599121,0.017183812,0.09641774,-0.0063940203,0.052429564,0.11737546,0.002039279,-0.25555328,-0.10739258,-0.13240328,0.19338699,0.08877029,0.1981432,-0.008866028,0.042721283,0.029375967,-0.0050998377,-0.15371634,-0.018043427,0.10199653,-0.16623862,0.1400161,-0.15429708,-0.04283926
d9,-0.0016234788,-0.06497276,-0.009812841,-0.030507408,0.1601773,-0.06937029,0.073161,-0.10086404,-0.013967188,0.2822833,0.04897496,-0.107020356,0.088115536,-0.1791296,0.06603768,0.12464323,-0.11376736,0.0037493943,-0.33646166,0.21683167,0.04538463,-0.09508471,-0.12947106,-0.23178405,-0.0948979,0.09321329,-0.025770793,0.076433055,-0.02508283,-0.08587571,-0.09166031,-0.012840427,0.15322658,0.0035564343,-0.036005173,0.14464584,0.138769,0.06427448,0.009756289,0.16496493,0.08578429,0.1001889,0.016659835,0.0047772136,0.109430596,-0.11534596,0.016714599,-0.03661927,0.003498847,0.011700362,0.08953811,0.08082168,-0.010655208,0.074162416,-0.13599773,-0.11451,0.09666585,-0.14500087,0.017743,0.16936618,-0.29067695,-0.038325064,0.056630854,-0.031518206,0.120776385,-0.060033567,0.031285007,0.022305902,-0.02153594,-0.020904055,-0.011826315,-0.10484449,-0.19664815,-0.07922406,0.15142368,-0.052574437,0.021716261,-0.14195411,-0.10995102,-0.11230727,-0.08978001,-0.015151144,0.12607953,0.1378646,0.04764547,0.20470496,0.014654002,-0.15403877,0.04714382,0.028731707,-0.105054535,-0.015072849,0.07731,0.013270041,0.13652761,0.09883801,-0.021326017,-0.051125668,-0.008174691,0.05744133,-0.15293775,0.07502357,0.026233507,-0.09598545,-0.0043203235,0.019672904,0.029444002,0.08307098,0.159069,0.015251368,-0.012962615,-0.18476425,-0.09061082,0.025530094,0.06916683,0.08919232,0.16769381,0.06935928,0.08560332,0.03014964,-0.037879225,-0.116429254,-0.1621325,0.10664522,-0.11557469,0.03777123,-0.11600236,0.0033798693
